彖	彑𧰨 hu
㟠	山山 uu
㟢	山可 uk
㟤	山⺢ uu
㟦	山車 ui
㟧	山丂 uk
㟨	山而 ue
㟩	民山 mu
㟫	山水 uu
㟬	山又 uy
㟮	山犬 uq
㟰	山六 ul
㟱	山灬 uh
㟲	山小 ux
㟳	山木 um
㟴	山鬼 ug
㟵	山正 uv
㟶	山小 ux
㟹	山卩 ue
㟺	山女 un
㟼	山攵 uw
㟽	山示 uu
㠂	山攵 uw
㠄	山白 ub
㠅	山夂 uw
㠈	山王 uw
㠉	山里 ul
㠍	山木 um
㠎	山木 um
㠐	山口 uk
㠑	山非 uf
㠒	山刂 ud
㠗	山大 ud
㠘	山八 ub
㠚	山寸 uc
㠜	山疋 uz
㠟	山氺 uu
㠠	山皿 um
㠡	山馬 um
㠢	山衣 uy
㠣	山止 uv
㠥	山土 ut
㠧	山非 uf
㠭	工工 gg
㠱	巳八 sb
㠲	巾匕 jb
㠵	亡巾 wj
㠸	巾夫 jf
㠿	止巾 vj
㡂	歹巾 dj
㡄	巾日 jo
㡅	巾夕 jx
㡇	巾乚 jv
㡈	巾儿 je
㡉	巾玄 jx
㡋	巾电 jd
㡌	巾⺝ jo
㡏	巾刂 jd
㡒	巾目 jo
㡔	矛巾 mj
㡖	巾重 jv
㡗	巾几 jj
㡘	巾兼 jj
㡜	巾示 ju
㡝	巾丰 jf
㡞	巾女 jn
㡡	巾寸 jc
㡢	巾方 jf
㡧	巾䒑 jb
㡨	巾韭 jj
㡪	巾夊 jw
㡱	广久 gj
㡳	广氏 gu
㡷	广本 gb
㡺	广旦 gd
㡼	广曳 gy
㡽	广聿 gy
㡾	广艮 gg
㡿	广屰 gn
㢂	广㠯 gl
㢃	广良 gl
㢄	广䒑 gb
㢅	广廾 gc
㢘	广灬 gh
㢬	弓厶 gs
㢼	弓小 gx
㢾	弓土 gt
㣅	弓曰 go
㣈	彑巾 hj
㣎	白彡 bp
㣏	大彡 dp
㣚	彳口 rk
㣛	彳口 rk
㣜	彳刂 rd
㣝	彳十 ru
㣟	彳口 rk
㣤	彳戈 rg
㣥	彳寸 rc
㣪	彳又 ry
㣫	彳重 rv
㣯	彳⺝ ro
㣰	彳心 rx
㣱	彳貝 rb
㣲	彳口 rk
㣵	彳羊 ry
㣷	彳丁 rd
㣽	女心 nx
㤁	天心 tx
㤃	忄方 xf
㤅	旡心 wx
㤆	忄又 xy
㤇	忄夭 xy
㤈	忄心 xx
㤍	工心 gx
㤑	忄口 xk
㤔	忄寸 xc
㤕	忄出 xi
㤞	忄七 xq
㤠	歹心 dx
㤡	忄刂 xd
㤢	忄月 xo
㤤	忄乀 xn
㤥	忄人 xr
㤦	忄吏 xl
㤧	忄口 xk
㤨	忄共 xg
㤩	夂心 wx
㤫	𠂇心 ux
㤬	忄土 xt
㤮	犭心 qx
㤯	忄口 xk
㤰	亻心 rx
㤲	大心 dx
㤳	忄口 xk
㤴	忄乚 xv
㤵	子心 zx
㤸	忄赤 xi
㤺	忄𫶧 xi
㤽	忄寸 xc
㤾	忄木 xm
㤿	忄电 xd
㥃	忄門 xm
㥅	忄又 xy
㥇	忄戈 xg
㥈	巾心 jx
㥊	忄月 xo
㥋	亻心 rx
㥍	忄八 xb
㥎	禾心 hx
㥏	忄八 xb
㥐	𠆢心 rx
㥒	忄采 xc
㥓	忄可 xk
㥔	忄⺝ xo
㥕	火心 hx
㥚	忄人 xr
㥜	忄⺝ xo
㥝	忄耳 xe
㥞	忄豕 xu
㥟	忄𧰨 xu
㥠	忄⺝ xo
㥡	忄木 xm
㥥	忄丶 xd
㥦	匚心 kx
㥧	忄頁 xy
㥨	女心 nx
㥩	忄日 xo
㥪	忄女 xn
㥬	忄方 xf
㥭	忄氺 xu
㥲	十心 ux
㥳	忄小 xx
㥴	忄几 xj
㥵	忄豕 xu
㥹	米心 mx
㥼	忄灬 xh
㥽	忄貝 xb
㥿	龶心 fx
㦀	忄丰 xf
㦂	龸心 xx
㦄	广心 gx
㦅	忄巾 xj
㦇	忄鹿 xl
㦍	忄屰 xn
㦐	忄貝 xb
㦑	忄攵 xw
㦒	忄口 xk
㦓	忄灬 xh
㦕	忄生 xu
㦖	忄心 xx
㦗	忄示 xu
㦚	辛心 xx
㦞	土心 tx
㦡	忄木 xm
㦢	忄卩 xe
㦣	彳心 rx
㦥	忄心 xx
㦩	忄心 xx
㦪	忄又 xy
㦭	忄人 xr
㦮	戈一 ga
㦰	戈人 gr
㦴	戈口 gk
㦶	戈土 gt
㦷	龴戈 sg
㦻	习戈 xg
㦼	𡗗戈 ig
㦽	𠂇巛 uv
㦿	户木 hm
㧁	户去 hq
㧂	户田 ht
㧅	扌刀 fd
㧋	扌犬 fq
㧍	扌方 ff
㧏	扌㐅 fx
㧒	扌八 fb
㧕	扌卩 fe
㧗	扌匕 fb
㧡	扌人 fr
㧢	扌因 fy
㧣	扌未 fw
㧤	扌允 fy
㧥	扌儿 fe
㧦	扌日 fo
㧨	扌口 fk
㧩	扌巾 fj
㧪	扌㔾 fv
㧫	扌而 fe
㧯	扌老 fl
㧰	扌乐 fl
㧲	扌木 fm
㧵	扌口 fk
㧷	扌口 fk
㧺	扌日 fo
㧻	扌豖 fu
㧽	扌古 fg
㧾	扌心 fx
㨀	扌人 fr
㨃	扌子 fz
㨅	扌内 fn
㨆	扌木 fm
㨋	扌日 fo
㨌	士手 tu
㨐	扌木 fm
㨒	扌土 ft
㨕	扌皿 fm
㨖	扌攵 fw
㨘	扌目 fo
㨙	扌大 fd
㨚	扌日 fo
㨛	扌人 fr
㨜	扌文 fw
㨝	扌⺝ fo
㨞	扌糸 fx
㨠	扌六 fl
㨡	扌豕 fu
㨥	扌内 fn
㨧	扌田 ft
㨨	扌田 ft
㨩	扌𡈼 fw
㨪	扌光 fg
㨫	扌皿 fm
㨭	扌巴 fb
㨮	扌儿 fe
㨯	扌⻏ fe
㨱	扌口 fk
㨲	扌木 fm
㨳	扌可 fk
㨵	扌刀 fd
㨶	扌鳥 fn
㨷	扌王 fw
㨸	扌山 fu
㨹	扌彐 fe
㨽	扌刂 fd
㨿	扌几 fj
㩀	扌丶 fd
㩄	扌心 fx
㩈	扌口 fk
㩌	扌貝 fb
㩍	扌朿 fu
㩐	扌寸 fc
㩒	扌示 fu
㩔	扌殳 fu
㩖	扌畺 fj
㩗	扌乃 fn
㩛	扌寸 fc
㩜	扌皿 fm
㩞	扌木 fm
㩟	扌木 fm
㩡	扌石 fu
㩦	扌口 fk
㩧	扌氺 fu
㩨	扌心 fx
㩩	扌頁 fy
㩭	扌子 fz
㩮	扌手 fu
㩯	扌糸 fx
㩰	扌木 fm
㩱	扌寸 fc
㩳	扌又 fy
㩵	扌犬 fq
㩸	扌彑 fh
㩹	扌且 fq
㩻	⺈支 dv
㩼	夕支 xv
㩾	千支 qv
㪄	弗攵 fw
㪆	氐又 uy
㪊	尹又 yy
㪕	⺊又 by
㪘	𠆢攵 rw
㪝	柬又 jy
㪥	虍又 hy
㪩	聿又 yy
㪫	⺊又 by
㪭	虍又 hy
㪱	文人 wr
㪺	大斗 dd
㪻	糸斗 xd
㫃	方人 fr
㫊	方可 fk
㫍	方攵 fw
㫎	方車 fi
㫏	方女 fn
㫐	日匕 ob
㫑	日力 ol
㫗	曰子 oz
㫙	日夫 of
㫛	日兄 ox
㫟	日口 ok
㫢	日去 oq
㫥	日口 ok
㫧	日米 om
㫱	日赤 oi
㫲	日子 oz
㫳	辰日 io
㫵	日非 of
㫶	日巾 oj
㫻	日卄 oc
㫼	日刂 od
㫽	日⺢ ou
㬂	日丶 od
㬄	日赤 oi
㬅	日万 ow
㬇	日人 or
㬋	日矢 ou
㬐	日日 oo
㬓	日示 ou
㬔	日彡 op
㬗	日灬 oh
㬙	日爲 ow
㬝	日日 oo
㬠	日灬 oh
㬡	日龴 os
㬣	日寸 oc
㬥	日米 om
㬧	日糸 ox
㬩	日心 ox
㬪	日彑 oh
㬫	廿日 co
㬰	由人 yr
㬳	月午 ow
㬴	月共 og
㬵	月父 of
㬶	月口 ok
㬼	𠂇夂 uw
㬿	月攵 ow
㭂	木小 mx
㭇	木允 my
㭈	木夬 mg
㭉	艹木 cm
㭋	木丰 mf
㭌	木牛 mn
㭑	木未 mw
㭒	木㠯 ml
㭘	木口 mk
㭙	木寸 mc
㭜	木十 mu
㭞	木力 ml
㭟	共木 gm
㭠	木儿 me
㭡	木㐅 mx
㭤	木鸟 mn
㭨	木⻏ me
㭫	木人 mr
㭭	木刂 md
㭯	木乚 mv
㭴	木土 mt
㭹	木玄 mx
㭺	木电 md
㭻	木口 mk
㭾	木出 mi
㭿	木卩 me
㮁	木月 mo
㮃	木女 mn
㮈	木示 mu
㮋	木⻏ me
㮌	木面 mm
㮏	木示 mu
㮐	木目 mo
㮓	木亙 mh
㮔	木重 mv
㮖	木革 mg
㮗	矛木 mm
㮘	木攵 mw
㮙	木丂 mk
㮚	⺊木 bm
㮛	木龰 mz
㮞	木口 mk
㮟	木木 mm
㮡	火木 hm
㮢	木矢 mu
㮥	木田 mt
㮦	木糸 mx
㮩	木心 mx
㮫	木口 mk
㮯	木豕 mu
㮳	木天 mt
㮶	木月 mo
㮸	木天 mt
㮹	木攵 mw
㯀	木疋 mz
㯁	木口 mk
㯂	木巾 mj
㯅	木十 mu
㯈	木束 mu
㯊	木灬 mh
㯌	木豕 mu
㯍	木寸 mc
㯎	木木 mm
㯐	⻖木 em
㯖	木心 mx
㯘	木欠 mq
㯙	木攵 mw
㯚	木口 mk
㯜	木十 mu
㯝	木口 mk
㯞	木⺝ mo
㯟	木⺢ mu
㯠	木牛 mn
㯤	來來 ll
㯩	又夷 yy
㯪	木龴 ms
㯫	木豕 mu
㯬	木聿 my
㯭	木力 ml
㯮	木虫 mi
㯲	木示 mu
㯳	木攵 mw
㯷	木夫 mf
㯸	木皿 mm
㯹	木寸 mc
㰁	木石 mu
㰂	木田 mt
㰃	木糸 mx
㰄	木戈 mg
㰅	木古 mg
㰆	𰀉木 gm
㰈	木車 mi
㰋	木頁 my
㰍	龍木 lm
㰐	木月 mo
㰒	木子 mz
㰔	木又 my
㰗	木足 mz
㰛	木木 mm
㰝	巳欠 sq
㰟	气欠 qq
㰠	亠欠 wq
㰡	介欠 jq
㰣	止欠 vq
㰤	可欠 kq
㰥	世欠 uq
㰦	去欠 qq
㰪	土欠 tq
㰮	辰欠 iq
㰰	大欠 dq
㰲	戈欠 gq
㰵	亠欠 wq
㰶	夂欠 wq
㰷	歹欠 dq
㰹	戊欠 wq
㰼	匚欠 kq
㰽	匚欠 kq
㱁	出欠 iq
㱂	广欠 gq
㱃	𠆢欠 rq
㱅	士欠 tq
㱇	工欠 gq
㱈	木欠 mq
㱋	雨欠 yq
㱏	二止 ev
㱔	止夕 vx
㱖	止十 vu
㱘	厂止 iv
㱙	歹丂 dk
㱚	歹⺼ do
㱛	歹歹 dd
㱜	歹龰 dz
㱞	歹立 dl
㱟	歹皮 dp
㱠	歹古 dg
㱣	歹女 dn
㱦	歹可 dk
㱧	歹㔾 dv
㱨	歹龰 dz
㱩	歹⺀ dd
㱭	歹殳 du
㱮	歹贝 db
㱰	歹辛 dx
㱱	歹鬼 dg
㱲	歹皿 dm
㱳	艹歹 cd
㱴	歹貝 db
㱹	歹止 dv
㱺	歹皿 dm
㱾	亠殳 wu
㲀	辰殳 iu
㲂	⺌殳 xu
㲅	宀殳 bu
㲕	爫毛 vm
㲶	气丶 qd
㲷	气十 qu
㲹	氵几 dj
㲺	氵七 dq
㲻	亻水 ru
㲾	宀水 bu
㳀	氵戈 dg
㳁	氵人 dr
㳂	氵公 dg
㳄	氵欠 dq
㳍	氵巾 dj
㳏	氵史 du
㳑	氵皿 dm
㳔	氵寸 dc
㳕	氵兰 dl
㳖	氵衣 dy
㳗	氵土 dt
㳛	氵人 dr
㳜	氵木 dm
㳠	氵大 dd
㳧	氵乚 dv
㳪	氵口 dk
㳫	水臼 uj
㳬	氵疋 dz
㳭	氵木 dm
㳮	氵水 du
㳵	氵子 dz
㳹	氵王 dw
㳺	氵子 dz
㳻	氵日 do
㳼	戈水 gu
㳽	氵小 dx
㳿	氵木 dm
㴆	氵巾 dj
㴇	水水 uu
㴈	氵山 du
㴋	氵八 db
㴏	氵王 dw
㴑	氵屰 dn
㴓	氵心 dx
㴕	氵禾 dh
㴖	氵革 dg
㴘	氵目 do
㴚	氵豕 du
㴛	氵攵 dw
㴜	氵卄 dc
㴝	禾水 hu
㴥	氵⺝ do
㴦	氵口 dk
㴨	氵天 dt
㴩	氵巴 db
㴫	氵⻏ de
㴬	氵寸 dc
㴭	氵目 do
㴮	氵⺝ do
㴰	氵匕 db
㴲	氵几 dj
㴵	氵皿 dm
㴷	氵儿 de
㴸	氵人 dr
㴼	氵百 db
㴽	氵心 dx
㴿	氵頁 dy
㵀	氵矢 du
㵂	氵灬 dh
㵃	氵匕 db
㵅	氵貝 db
㵊	氵又 dy
㵋	氵貝 db
㵌	氵目 do
㵍	氵心 dx
㵎	氵月 do
㵏	氵十 du
㵑	氵貝 db
㵒	氵貝 db
㵓	氵龰 dz
㵔	氵日 do
㵕	氵⺗ dx
㵗	冫水 du
㵘	水水 uu
㵝	氵口 dk
㵞	氵心 dx
㵡	氵包 db
㵢	氵田 dt
㵣	氵欠 dq
㵤	氵人 dr
㵥	氵皿 dm
㵩	氵木 dm
㵬	氵皿 dm
㵭	氵灬 dh
㵯	氵鳥 dn
㵰	氵八 db
㵱	氵寸 dc
㵷	辛氵 xd
㵸	氵卄 dc
㵺	氵十 du
㶁	氵几 dj
㶄	氵臼 dj
㶅	氵子 dz
㶆	氵日 do
㶇	氵八 db
㶈	氵虫 di
㶎	氵𧘇 dy
㶏	氵心 dx
㶒	氵馬 dm
㶕	氵日 do
㶘	氵十 du
㶛	氵八 db
㶠	氵干 dg
㶣	干火 gh
㶤	火夕 hx
㶥	火干 hg
㶧	火内 hn
㶬	火末 hw
㶭	火力 hl
㶯	火卩 he
㶰	火甘 hg
㶴	火夕 hx
㶵	亻灬 rh
㶹	火水 hu
㶺	火口 hk
㶿	火子 hz
㷀	火十 hu
㷂	臣火 ih
㷄	火果 hg
㷇	夕火 xh
㷈	火电 hd
㷊	木灬 mh
㷋	火火 hh
㷍	火卄 hc
㷐	火土 ht
㷒	火丶 hd
㷔	火日 ho
㷕	丷火 bh
㷘	火木 hm
㷟	火㠯 hl
㷡	目火 oh
㷢	⺶火 yh
㷬	火大 hd
㷮	火曰 ho
㷳	厂火 ih
㷵	火灬 hh
㷶	亻灬 rh
㷹	火十 hu
㷻	火灬 hh
㷾	火豕 hu
㸅	火卩 he
㸉	火火 hh
㸊	火貝 hb
㸋	𱼀田 xt
㸍	火戈 hg
㸎	火耳 he
㸏	广火 gh
㸐	艹灬 ch
㸑	𦥑火 jh
㸓	爫日 vo
㸕	爪又 vy
㸗	父口 fk
㸤	辛辛 xx
㸩	牜干 ng
㸮	牜分 nf
㸰	牜匕 nb
㸱	牜也 ny
㸲	牜乍 nv
㸳	牜龴 ns
㸵	牜口 nk
㸸	牜口 nk
㸺	氵牛 dn
㸻	牜矢 nu
㸽	牜貝 nb
㸾	牜心 nx
㹀	牜子 nz
㹁	牜小 nx
㹂	臣牛 in
㹈	未牛 wn
㹉	牜小 nx
㹎	牜糸 nx
㹏	牜王 nw
㹐	彳牛 rn
㹑	牜貝 nb
㹓	牜兀 nw
㹔	牜畺 nj
㹕	元牛 yn
㹗	牜寸 nc
㹘	牜而 ne
㹚	牜口 nk
㹜	犬犬 qq
㹟	犭夬 qg
㹡	犭玄 qx
㹤	犭去 qq
㹥	犭主 qv
㹫	犭夷 qy
㹬	犭吏 ql
㹮	犭百 qb
㹱	犭足 qz
㹲	犭子 qz
㹳	犭口 qk
㹴	犭更 qg
㹶	犭𡈼 qw
㹷	㐅犬 xq
㹹	犭人 qr
㹽	犭戈 qg
㹾	犭口 qk
㹿	犭十 qu
㺀	犭心 qx
㺃	犭句 qj
㺇	犭犬 qq
㺈	犭虫 qi
㺊	犭心 qx
㺌	犭兼 qj
㺏	犭女 qn
㺐	犭果 qg
㺒	犭彡 qp
㺓	犬貝 qb
㺔	犭爲 qw
㺕	犭田 qt
㺖	犭攵 qw
㺗	犭十 qu
㺘	犭灬 qh
㺚	犭羊 qy
㺛	犭廾 qc
㺝	犭皿 qm
㺞	犭八 qb
㺡	犭止 qv
㺣	犭戈 qg
㺥	犭兔 qt
㺨	𤣩厶 ws
㺫	𤣩刂 wd
㺭	𤣩子 wz
㺮	𤣩丂 wk
㺱	亻玉 ry
㺲	𤣩丑 wi
㺵	𤣩欠 wq
㺷	𤣩术 wu
㺺	𤣩目 wo
㻀	𤣩乀 wn
㻅	𤣩云 wy
㻊	𤣩儿 we
㻋	𤣩束 wu
㻌	𤣩朩 wm
㻍	𤣩天 wt
㻏	𤣩火 wh
㻑	𤣩子 wz
㻔	𤣩士 wt
㻕	𤣩出 wi
㻗	非玉 fy
㻝	𤣩刂 wd
㻞	𤣩卄 wc
㻟	𤣩月 wo
㻠	𤣩犬 wq
㻧	𤣩木 wm
㻭	𤣩十 wu
㻮	𤣩示 wu
㻰	𤣩彐 we
㻵	𤣩子 wz
㻷	𤣩朿 wu
㻿	𤣩虫 wi
㼂	𦥑玉 jy
㼉	瓜儿 ge
㼒	瓜勿 gw
㼛	开瓦 kw
㼝	夕瓦 xw
㼤	丰瓦 fw
㼱	北瓦 bw
㼲	而瓦 ew
㼴	田瓦 tw
㽁	厂瓦 iw
㽂	𠆢瓦 rw
㽋	糸瓦 xw
㽕	由㇉ yv
㽖	田力 tl
㽘	田几 tj
㽙	田允 ty
㽚	田牛 tn
㽛	田句 tj
㽝	歹田 dt
㽠	田人 tr
㽡	田十 tu
㽢	田电 td
㽥	田木 tm
㽨	田工 tg
㽪	田日 to
㽫	亠田 wt
㽭	田而 te
㽰	月疋 oz
㽲	疒丂 bk
㽳	疒于 by
㽷	疒水 bu
㽹	疒又 by
㽽	疒古 bg
㽾	疒出 bi
㾀	疒去 bq
㾁	疒术 bu
㾃	疒匕 bb
㾅	疒𠂔 bd
㾆	疒冉 br
㾇	疒目 bo
㾈	疒寸 bc
㾉	疒龴 bs
㾋	疒木 bm
㾌	疒儿 be
㾍	疒而 be
㾏	疒土 bt
㾐	疒刂 bd
㾑	疒口 bk
㾒	疒口 bk
㾕	疒辛 bx
㾖	疒里 bl
㾘	疒更 bg
㾙	疒巾 bj
㾜	疒人 br
㾝	疒車 bi
㾠	疒王 bw
㾡	疒卩 be
㾢	疒來 bl
㾥	疒又 by
㾧	疒果 bg
㾨	疒可 bk
㾪	疒目 bo
㾫	疒卄 bc
㾭	疒火 bh
㾮	疒王 bw
㾰	疒月 bo
㾱	疒儿 be
㾵	疒十 bu
㾶	疒⺼ bo
㾸	疒口 bk
㾹	疒木 bm
㾺	疒馬 bm
㾻	疒朩 bm
㾼	疒艮 bg
㾽	疒㠯 bl
㾾	疒兼 bj
㾿	疒⻏ be
㿃	疒巾 bj
㿅	疒龰 bz
㿇	疒白 bb
㿉	疒貝 bb
㿍	疒牛 bn
㿒	疒寸 bc
㿓	疒足 bz
㿕	疒臼 bj
㿖	疒皿 bm
㿘	疒口 bk
㿛	疒鹿 bl
㿜	疒卄 bc
㿟	白白 bb
㿢	日白 ob
㿤	白日 bo
㿧	白寸 bc
㿨	白止 bv
㿩	白灬 bh
㿫	匕皮 bp
㿯	𠆢皮 rp
㿰	亠皮 wp
㿱	扌皮 fp
㿵	皮大 pd
㿷	⺶皮 yp
㿺	日皮 op
䀀	氵皿 dm
䀁	𠂇皿 um
䀅	礻皿 pm
䀇	古皿 gm
䀊	氵皿 dm
䀍	立皿 lm
䀎	目丂 ok
䀗	目夬 og
䀘	目开 ok
䀙	目刀 od
䀚	目卩 oe
䀛	目勿 ow
䀜	勿目 wo
䀠	目目 oo
䀡	目占 ov
䀢	目矢 ou
䀤	夕目 xo
䀥	目乐 ol
䀦	目古 og
䀧	目共 og
䀨	目舌 ou
䀩	目口 ok
䀫	目口 ok
䀬	目王 ow
䀭	目人 or
䀮	目𫶧 oi
䀰	目谷 og
䀳	目束 ou
䀵	目矢 ou
䀷	目力 ol
䀸	扌目 fo
䀹	目人 or
䀺	亻目 ro
䀻	目丂 ok
䀽	目正 ov
䁁	目小 ox
䁂	臣目 io
䁄	目干 og
䁅	目皿 om
䁆	目电 od
䁊	目目 oo
䁌	目⺝ oo
䁎	目丁 od
䁏	目女 on
䁐	目央 oy
䁔	目又 oy
䁙	目女 on
䁚	目貝 ob
䁛	目鬼 og
䁜	目光 og
䁟	目工 og
䁠	目兼 oj
䁢	目疋 oz
䁣	目寸 oc
䁧	目天 ot
䁨	目⻏ oe
䁩	目魚 oy
䁫	目灬 oh
䁬	目日 oo
䁰	目頁 oy
䁱	目兀 ow
䁲	目貝 ob
䁵	目𧘇 oy
䁶	目攵 ow
䁷	𦥑目 jo
䁻	目木 om
䁼	目土 ot
䂁	目兔 ot
䂃	目寸 oc
䂄	目又 oy
䂇	矛丑 mi
䂈	矛虫 mi
䂉	矛矢 mu
䂍	矛氺 mu
䂎	矛貝 mb
䂐	矢出 ui
䂒	矢口 uk
䂔	矢干 ug
䂕	矢𧰨 uu
䂜	石丰 uf
䂝	石戈 ug
䂞	石木 um
䂠	石矢 uu
䂣	石匕 ub
䂤	石寸 uc
䂦	石彡 up
䂧	石小 ux
䂩	石因 uy
䂫	石㐄 uf
䂬	工石 gu
䂭	石父 uf
䂰	石刂 ud
䂱	石兄 ux
䂲	去石 qu
䂳	石人 ur
䂴	石口 uk
䂶	石刀 ud
䂹	石火 uh
䂺	石果 ug
䂼	石心 ux
䂽	石十 uu
䂾	石來 ul
䂿	石日 uo
䃀	石女 un
䃂	石匕 ub
䃇	石巾 uj
䃈	石白 ub
䃊	石且 uq
䃋	石刂 ud
䃍	石豕 uu
䃑	石殳 uu
䃔	石口 uk
䃖	石灬 uh
䃗	石刂 ud
䃙	石鹿 ul
䃚	石矢 uu
䃛	石車 ui
䃝	石攵 uw
䃞	亠石 wu
䃣	石爲 uw
䃥	石里 ul
䃧	⻖石 eu
䃫	石口 uk
䃬	石鬼 ug
䃭	石心 ux
䃮	石羊 uy
䃱	石韭 uj
䃲	石皿 um
䃵	石馬 um
䃶	石小 ux
䃷	石女 un
䃺	石非 uf
䃻	石月 uo
䃽	礻支 pv
䃾	礻匕 pb
䄀	礻戈 pg
䄄	礻因 py
䄆	礻舌 pu
䄇	礻王 pw
䄋	礻电 pd
䄌	礻又 py
䄍	礻日 po
䄎	礻可 pk
䄐	出巳 is
䄑	礻日 po
䄒	礻心 px
䄓	礻王 pw
䄘	礻方 pf
䄙	礻六 pl
䄚	礻曰 po
䄛	礻女 pn
䄝	礻臼 pj
䄤	礻貝 pb
䄥	礻人 pr
䄼	禾㐁 hx
䅁	宀禾 bh
䅃	工禾 gh
䅄	禾力 hl
䅇	覀禾 xh
䅊	禾七 hq
䅌	禾⺝ ho
䅞	禾寸 hc
䅤	禾臼 hj
䅸	禾辛 hx
䅻	禾禸 hn
䅾	禾曰 ho
䆁	禾干 hg
䆃	辶禾 zh
䆐	𡗗禾 ih
䆑	宀丁 bd
䆓	宀允 by
䆕	宀夬 bg
䆙	宀正 bv
䆚	宀口 bk
䆜	宀月 bo
䆝	宀皿 bm
䆟	宀口 bk
䆢	宀夬 bg
䆦	宀火 bh
䆨	宀天 bt
䆩	宀大 bd
䆬	宀貝 bb
䆮	宀又 by
䆱	宀火 bh
䆳	宀豕 bu
䆵	宀日 bo
䆹	宀里 bl
䆻	宀攵 bw
䆽	宀豕 bu
䆾	宀皿 bm
䇀	宀耳 be
䇂	亠丨 wl
䇃	立巳 ls
䇅	立戈 lg
䇋	立夕 lx
䇌	立⺝ lo
䇍	立足 lz
䇎	立日 lo
䇏	立子 lz
䇑	立十 lu
䇖	竹丿 vp
䇛	竹止 vv
䇜	竹欠 vq
䇞	竹甘 vg
䇟	竹力 vl
䇠	竹主 vv
䇡	竹丁 vd
䇢	竹古 vg
䇣	竹小 vx
䇤	竹内 vn
䇥	竹正 vv
䇦	竹央 vy
䇧	竹㐁 vx
䇨	竹㐄 vf
䇪	竹土 vt
䇬	竹未 vw
䇭	竹老 vl
䇯	竹耳 ve
䇲	竹夹 vj
䇷	竹刂 vd
䇸	竹王 vw
䇹	竹口 vk
䇼	竹巴 vb
䇾	竹口 vk
䈁	竹卄 vc
䈃	竹口 vk
䈆	竹犬 vq
䈇	竹十 vu
䈈	竹巴 vb
䈉	竹女 vn
䈊	竹夂 vw
䈋	竹日 vo
䈍	竹目 vo
䈎	竹木 vm
䈏	竹田 vt
䈐	竹火 vh
䈑	竹口 vk
䈒	竹干 vg
䈕	竹龰 vz
䈗	竹夂 vw
䈘	竹幺 vy
䈙	竹寸 vc
䈚	竹心 vx
䈛	竹又 vy
䈜	竹又 vy
䈞	竹日 vo
䈟	竹刂 vd
䈠	竹又 vy
䈢	竹木 vm
䈣	竹攵 vw
䈤	竹甘 vg
䈧	竹為 vw
䈫	竹内 vn
䈭	竹鬼 vg
䈮	竹句 vj
䈲	竹殳 vu
䈳	竹习 vx
䈴	竹兼 vj
䈵	竹习 vx
䈶	竹谷 vg
䈷	竹口 vk
䈹	竹百 vb
䈼	竹山 vu
䈾	竹⺝ vo
䈿	竹六 vl
䉀	竹灬 vh
䉁	竹龴 vs
䉂	竹糸 vx
䉃	竹寸 vc
䉄	竹夂 vw
䉆	竹鳥 vn
䉈	竹攵 vw
䉊	竹車 vi
䉋	竹目 vo
䉍	竹心 vx
䉎	竹木 vm
䉏	竹牛 vn
䉑	竹灬 vh
䉒	竹田 vt
䉓	竹果 vg
䉕	竹日 vo
䉖	竹龴 vs
䉘	竹示 vu
䉙	竹云 vy
䉛	竹大 vd
䉞	竹心 vx
䉟	竹又 vy
䉠	竹几 vj
䉢	竹口 vk
䉣	竹灬 vh
䉤	竹攵 vw
䉥	竹心 vx
䉧	竹刂 vd
䉨	竹殳 vu
䉪	竹田 vt
䉫	竹氺 vu
䉬	竹殳 vu
䉯	竹貝 vb
䉰	竹父 vf
䉲	竹八 vb
䉶	竹又 vy
䉷	竹攵 vw
䉸	竹口 vk
䉹	竹人 vr
䉺	米工 mg
䉽	米半 mb
䉾	北米 bm
䊀	米古 mg
䊃	米巾 mj
䊄	工米 gm
䊅	米口 mk
䊆	臼米 jm
䊉	米木 mm
䊍	禾米 hm
䊎	米㔾 mv
䊐	米匕 mb
䊑	米口 mk
䊓	米龰 mz
䊖	米干 mg
䊗	米王 mw
䊘	米⺝ mo
䊙	石米 um
䊛	米殳 mu
䊜	米寸 mc
䊝	米心 mx
䊡	米又 my
䊣	米八 mb
䊧	米貝 mb
䊩	米田 mt
䊫	米非 mf
䊭	米寸 mc
䊯	米八 mb
䊰	米日 mo
䊳	米非 mf
䊴	米人 mr
䋀	户糸 hx
䋂	糹乂 sx
䋈	女糸 nx
䋕	亻糸 rx
䋢	扌糸 fx
䋣	𠂉糸 px
䋨	糹口 sk
䋷	矛糸 mx
䋹	糹田 st
䋾	糹夕 sx
䌄	糹又 sy
䌈	糹习 sx
䌊	糹缶 sf
䌘	⺌糸 xx
䌞	糹人 sr
䌟	糹辛 sx
䌥	糹心 sx
䌫	糹見 sj
䌺	⺰耳 se
䌻	⺰习 sx
䌼	⺰兄 sx
䌽	⺰采 sc
䌾	⺰干 sg
䍀	⺰皿 sm
䍁	⺰豕 su
䍂	缶于 fy
䍃	爫缶 vf
䍄	缶占 fv
䍅	缶龴 fs
䍈	缶平 fp
䍉	缶只 fv
䍊	缶父 ff
䍋	缶士 ft
䍎	缶灬 fh
䍐	罒干 sg
䍑	冂干 kg
䍒	罒木 sm
䍖	罒包 sb
䍗	罒玄 sx
